00:22:16:09,00:22:17:23,ERZAEHLER,1,speech,regular,AND,Jenny steigt aus und rennt zu ihm.,;;;;;
00:22:18:12,00:22:18:21,JENNY,1,speech,exclamation,address,Forrest,;;;;;
00:22:18:23,00:22:19:08,JENNY,1,speech,commanding,imperative,Hör auf!,;;;;;
00:22:19:11,00:22:20:03,ERZAEHLER,1,speech,regular,HS,Sie zieht ihn weg.,;;;;;
00:22:21:07,00:22:22:04,JENNY,1,speech,asking,question,Was machst du denn da?,;;;;;
00:22:22:05,00:22:24:06,FORREST,1,speech,exclamation,HS,Aber er hat dir weh getan.,;;;;;
"00:22:24:07,00:22:25:02,JENNY,1,speech,exclamation,HS,""Nein, hat er nicht"",";;;;;
00:22:25:14,00:22:26:07,JENNY,1,speech,commanding,imperative,Geh da rüber!,;;;;;
00:22:26:08,00:22:26:19,BILLY,1,speech,asking,question,Wer ist das?,;;;;;
00:22:27:13,00:22:28:14,BILLY,0,speech,asking,question,Wer verdammt noch mal…?,;;;;;
00:22:28:15,00:22:28:22,JENNY,0,speech,exclamation,address;"HS,""Billy, es tut mir leid."",";;;;
00:22:28:23,00:22:29:08,BILLY,1,speech,commanding,imperative,Fass mich nicht an!,;;;;;
00:22:29:15,00:22:29:24,JENNY,1,speech,exclamation,none,Nicht,;;;;;
00:22:30:07,00:22:31:20,BILLY,1,speech,regular,HS,Du sollst mich nicht anfassen.,;;;;;
00:22:31:21,00:22:32:15,JENNY,1,speech,regular,incomplete,Du kannst doch jetzt nicht...,;;;;;
00:22:32:16,00:22:32:23,JENNY,1,speech,regular,address,Billy,;;;;;
00:22:32:24,00:22:33:16,JENNY,1,speech,commanding,imperative,Warte doch!,;;;;;
00:22:34:09,00:22:35:20,JENNY,1,speech,regular,HS,Er weiß es doch nicht besser.,;;;;;
00:22:38:07,00:22:38:22,JENNY,1,speech,regular,address,Forrest,;;;;;
00:22:39:12,00:22:40:18,JENNY,1,speech,asking,question,Warum hast du das gemacht?,;;;;;
00:22:43:16,00:22:44:21,FORREST,1,speech,regular,HS,Ich hab Pralinen für dich.,;;;;;
00:22:44:23,00:22:45:23,ERZAEHLER,1,speech,regular,HS,Sie nimmt sie wütend.,;;;;;
00:22:46:18,00:22:47:18,FORREST,1,speech,regular,HS,Es tut mir so Leid.,;;;;;
00:22:50:16,00:22:52:09,FORREST,1,speech,regular,HS,Ich geh jetzt wieder in mein College.,;;;;;
00:22:53:00,00:22:53:13,JENNY,1,speech,asking,address,Forrest,;;;;;
00:22:54:11,00:22:55:04,ERZAEHLER,1,speech,regular,HS,Er bleibt stehen.,;;;;;
00:22:57:11,00:22:58:08,JENNY,1,speech,exclamation,imperative,Sieh dich doch an!,;;;;;
00:22:58:14,00:22:59:16,ERZAEHLER,1,speech,regular,HS,Er schaut an sich runter.,;;;;;
00:23:00:20,00:23:01:07,JENNY,1,speech,regular,imperative,Komm mit!,;;;;;
00:23:02:04,00:23:02:12,JENNY,1,speech,regular,imperative,Komm!,;;;;;
00:23:02:19,00:23:05:05,ERZAEHLER,1,speech,regular,AND,Sie greift nach seiner Hand und zieht ihn hinter sich her.,;;;;;
00:23:06:00,00:23:09:21,ERZAEHLER,1,speech,regular,HS;HS;"HS,""In einem Flur späht Jenny um eine Ecke, schleicht mit Forrest zu einem Zimmer und schließt auf."",";;;
00:23:10:01,00:23:11:04,FORREST,1,speech,asking,question,Ist das Dein Zimmer?,;;;;;
00:23:11:05,00:23:11:06,JENNY,1,non,commanding,none,Shh!,;;;;;
00:23:11:24,00:23:12:09,ERZAEHLER,1,speech,regular,none,Später,;;;;;
"00:23:12:14,00:23:15:19,ERZAEHLER,1,speech,regular,HS,""Jenny, im Unterkleid, nimmt den Bademantel ihrer schlafenden Mitbewohnerin."",";;;;;
00:23:14:15,00:24:09:03,THE ROOFTOP SINGERS,1,song,regular,foreign,“Walk Right In”,;;;;;
"00:23:16:04,00:23:17:09,JENNY,1,speech,asking,question,""Träumst du manchmal davon,..."",";;;;;
00:23:17:12,00:23:19:01,ERZAEHLER,1,speech,regular;addendum,HS,Und legt ihn um seine nackten Beine.,;;;;
00:23:19:08,00:23:20:12,FORREST,1,speech,asking,NS,...wer du einmal sein wirst?,;;;;;
00:23:20:17,00:23:22:01,ERZAEHLER,1,speech,regular,HS,Auch sein Oberkörper ist nackt.,;;;;;
00:23:22:06,00:23:23:07,FORREST,1,speech,asking,question,Wer ich mal sein werde?,;;;;;
00:23:23:09,00:23:23:18,JENNY,1,speech,regular,none,Ja,;;;;;
00:23:24:03,00:23:25:15,FORREST,1,speech,asking,question,Werd' ich später nicht mehr ich sein?,;;;;;
00:23:25:20,00:23:27:13,JENNY,1,speech,regular,HS,Natürlich wirst du immer du sein.,;;;;;
00:23:27:24,00:23:29:14,JENNY,1,speech,regular,HS,Trotzdem wirst Du ein anderer sein.,;;;;;
00:23:30:05,00:23:30:19,JENNY,1,speech,asking,question,Weißt Du was?,;;;;;
00:23:32:03,00:23:33:09,JENNY,1,speech,regular,HS,Ich möchte mal berühmt werden.,;;;;;
00:23:34:24,00:23:36:24,JENNY,1,speech,regular,HS,Ich möchte Sängerin werden wie Joan Baez.,;;;;;
00:23:37:04,00:23:38:12,ERZAEHLER,1,speech,regular,HS,Jenny trocknet ihre Haare.,;;;;;
00:23:38:16,00:23:39:17,JENNY,1,speech,regular,incomplete,Ich möchte auf...,;;;;;
00:23:40:07,00:23:43:19,JENNY,1,speech,regular;"addendum,completion,""...einer leeren Bühne stehen. Nur meine Gitarre, meine Stimme,"",";;;;
00:23:46:02,00:23:46:17,JENNY,1,speech,regular;addendum,none,nicht mehr.,;;;;
00:23:47:01,00:23:48:09,ERZAEHLER,1,speech,regular,HS,Sie zieht ihr Unterkleid aus.,;;;;;
00:23:48:16,00:23:51:02,JENNY,1,speech,regular,HS,Ich möchte in den Menschen etwas bewegen.,;;;;;
00:23:51:10,00:23:54:02,ERZAEHLER,1,speech,regular,HS,In BH und Unterhose setzt sie sich neben Forrest aufs Bett.,;;;;;
00:23:54:11,00:23:55:23,JENNY,1,speech,regular,HS,Ich möchte Inhalte vermitteln.,;;;;;
00:23:56:03,00:23:57:04,JENNY,1,speech,regular;addendum,none,Von Mensch zu Mensch.,;;;;
00:23:57:10,00:23:59:06,ERZAEHLER,1,speech,regular,HS,Schüchtern sieht Forrest auf ihren Busen.,;;;;;
00:23:59:11,00:24:00:08,ERZAEHLER,1,speech,regular,HS,Jenny ist schlank.,;;;;;
00:24:00:13,00:24:03:09,ERZAEHLER,1,speech,regular,HS,Sie hat ein schmales ebenmäßiges Gesicht und glattes langes Haar. ,;;;;;
00:24:03:16,00:24:04:14,ERZAEHLER,1,speech,regular,HS,Sie bemerkt seinen Blick.,;;;;;
00:24:04:24,00:24:06:19,JENNY,1,speech,asking,question,Bist du schonmal mit einem Mädchen zusammen gewesen?,;;;;;
00:24:09:02,00:24:12:07,FORREST,1,speech,regular,AND,Im Kurs für Hauswirtschaftslehre sind Mädchen und ich sitze daneben.,;;;;;
00:24:10:##,00:24:10:20,RADIO,0,broadcast,regular,undistinguishable,,###;;;;;
00:24:17:##,00:24:17:12,RADIO,0,broadcast,regular,undistinguishable,,###;;;;;
00:24:14:10,00:24:15:15,ERZAEHLER,1,speech,regular,HS,Jenny sieht ihn ruhig an.,;;;;;
00:24:16:01,00:24:17:04,ERZAEHLER,1,speech,regular,HS,Sie öffnet ihren BH...,;;;;;
00:24:18:14,00:24:19:08,ERZAEHLER,1,speech,regular;addendum,HS,und streift ihn ab.,;;;;
00:24:19:21,00:24:21:07,ERZAEHLER,1,speech,regular,HS,Forrests Augen weiten sich.,;;;;;
00:24:21:14,00:24:22:16,ERZAEHLER,1,speech,regular,HS,Verlegen schaut er weg.,;;;;;
00:24:25:13,00:24:28:00,ERZAEHLER,1,speech,regular,AND,Jenny nimmt seine Hand und legt sie sich auf die Brust.,;;;;;
00:24:32:02,00:24:34:05,ERZAEHLER,1,speech,regular,HS,Forrest linst aus den Augenwinkeln rüber.,;;;;;
00:24:35:11,00:24:36:06,ERZAEHLER,1,speech,regular,HS,Er zuckt zusammen.,;;;;;
00:24:37:10,00:24:37:17,FORREST,1,non,regular,none,ahhohh,;;;;;
00:24:38:08,00:24:38:17,FORREST,1,speech,regular,none,Oooouuuh,;;;;;
00:24:40:14,00:24:41:10,FORREST,1,speech,regular,HS,Das tut mir Leid.,;;;;;
00:24:41:11,00:24:42:03,JENNY,1,speech,regular,HS,Macht doch nichts.,;;;;;
00:24:42:04,00:24:42:13,FORREST,1,speech,exclamation,imperative,Entschuldige!,;;;;;
00:24:46:00,00:24:46:15,FORREST,1,non,regular,none,oooh,;;;;;
00:24:47:21,00:24:48:05,FORREST,1,non,regular,none,hupffff,;;;;;
00:24:48:23,00:24:49:02,FORREST,1,non,regular,none,oooh,;;;;;
00:24:49:03,00:24:49:10,RADIO,1,speech,regular,###,,###;;;;;
00:24:49:11,00:24:50:24,ERZAEHLER,1,speech,regular,HS,Er schaut aufgewühlt vor sich hin.,;;;;;
00:24:51:04,00:24:51:21,JENNY,1,speech,regular,HS,Ist ja gut.,;;;;;
00:24:52:08,00:24:53:16,ERZAEHLER,1,speech,regular,HS,Jenny zieht den BH wieder an.,;;;;;
00:24:54:00,00:24:54:17,FORREST,1,speech,regular,,hmmmmpf,;;;;;
00:24:55:11,00:24:56:06,JENNY,1,speech,regular,HS,Ist ja gut.,;;;;;
"00:24:56:12,00:24:57:19,FORREST,1,speech,regular,,""Ohh, ist mir schwindelig."",";;;;;
00:24:59:01,00:25:01:24,ERZAEHLER,1,speech,regular,AND,Sie schmiegt ihren Kopf an seine Schulter und streicht ihm über die Wange.,;;;;;
00:25:02:00,00:25:22:11,JIMMY GILMER & THE FIREBALLS,1,song,regular,,“Sugar Shack”,;;;;;
"00:25:05:14,00:25:07:17,JENNY,1,speech,asking,question,""Im Hauswirtschaftskurs ist dir das nie passiert, he?"",";;;;;
00:25:11:02,00:25:11:08,FORREST,1,speech,regular,none,pfff,;;;;;
00:25:11:17,00:25:11:22,JENNY,1,speech,regular,none,mmmh,;;;;;
00:25:11:24,00:25:12:02,FORREST,1,speech,regular,none,hm,;;;;;
00:25:12:14,00:25:12:18,JENNY,1,speech,regular,none,hö,;;;;;
00:25:13:04,00:25:13:14,FORREST,1,speech,regular,none,Nein,;;;;;
00:25:13:24,00:25:15:00,ERZAEHLER,1,speech,regular,HS,Sie küsst ihn auf die Wange.,;;;;;
00:25:15:11,00:25:15:13,JENNY,1,non,regular,none,knutsch,;;;;;
00:25:16:03,00:25:18:10,ERZAEHLER,1,speech,regular,HS,Die Mitbewohnerin liegt von ihnen abgewandt im Bett.,;;;;;
00:25:18:15,00:25:19:16,ERZAEHLER,1,speech,regular;addendum,HS,und schaut angewidert.,;;;;
00:25:19:22,00:25:23:06,FORREST,1,speech,regular,HS,Ich hab den Bademantel von deiner Freundin schmutzig gemacht.,;;;;;
00:25:23:07,00:25:25:02,JENNY,1,speech,regular,HS;"HS,""Ist egal, ich kann sie sowieso nicht leiden."",";;;;
00:25:25:06,00:25:25:##,CROWD,0,non,regular,none,cheering,###group cheering###;;;;;
00:25:25:07,00:25:25:23,MAN IN STADIUM CROWD,1,speech,regular,imperative;imperative;imperative;imperative,Lauf! Lauf! Lauf! Lauf!,;;
00:25:25:24,00:25:29:06,ERZAEHLER,1,speech,regular,HS,Im Stadion formen die Zuschauer mit den Tafeln 'Go Forrest'.,;;;;;
00:25:29:11,00:25:30:15,ERZAEHLER,1,speech,regular,HS,Der hängt alle Gegner ab.,;;;;;
00:25:31:15,00:25:33:23,ERZAEHLER,1,speech,regular;addendum,HS,Und erreicht die Touchdown-Zone.,;;;;
00:25:34:03,00:25:35:12,ERZAEHLER,1,speech,regular,HS,Die Tafeln formen ein 'Stop'.,;;;;;
00:25:35:17,00:25:37:09,ERZAEHLER,1,speech,regular,HS,Die Kapelle stellt sich Forrest in den Weg.,;;;;;
00:25:37:10,00:25:37:15,FOOTBALL PLAYER,1,speech,regular,none,uuuhwow,;;;;;
00:25:37:16,00:25:38:10,ERZAEHLER,1,speech,regular,HS,Er bleibt stehen.,;;;;;
00:25:38:16,00:25:40:01,ERZAEHLER,1,speech,regular,HS,Die Gegner stürzen übereinander.,;;;;;
00:25:40:06,00:25:42:10,FORREST (V.O.),1,speech,regular,HS,Die Zeit auf dem College ging richtig schnell vorbei.,;;;;;
00:25:42:14,00:25:44:06,FORREST (V.O.),1,speech,regular,HS,Ich spielte nämlich unheimlich viel Football.,;;;;;
00:25:44:11,00:25:47:04,FORREST (V.O.),1,speech,regular,HS,Die haben mich dann sogar in das All-American Team gesteckt.,;;;;;
00:25:47:06,00:25:51:02,FORREST (V.O.),1,speech,regular,NS;"HS,""Wenn man da drin ist, kann man den Presidenten der Vereinigten Staaten kennenlernen."",";;;;
00:25:45:15,00:27:09:00,OST,0,song,instrumental,instrumental,,;;;;;
00:25:51:15,00:25:55:07,ANNOUNCER,1,broadcast,regular,HS,Präsident Kennedy empfing heute im weißen Haus das All-American Football Team.,;;;;;
00:25:55:13,00:25:56:15,ERZAEHLER,1,speech,regular,none,Forrest an einem Buffet.,;;;;;
"00:25:56:23,00:26:01:19,FORREST (V.O.),1,speech,regular,complex,""Das, was richtig gut darin ist, wenn man den Präsidenten der Vereinigten Staaten kennenlernt, ist, das Essen."",";;;;;
"00:26:02:03,00:26:07:01,FORREST (V.O.),1,speech,regular,AND,""Sie stecken einen in einen kleinen Raum und da gibt es fast alles zu Essen und zu Trinken, was man sich wünscht."",";;;;;
00:26:07:03,00:26:08:15,ERZAEHLER,1,speech,regular,HS,Ein Kellner öffnet ihm eine Cola.,;;;;;
"00:26:08:16,00:26:17:03,FORREST (V.O.),1,speech,regular,complex,""Und weil ich ersten keinen Hunger hatte, sondern nur Durst und zweitens alles umsonst war, habe ich so ungefähr 15 Doktor Peppers Cola getrunken."",###movie only###";;;;;
00:26:18:04,00:26:18:20,FORREST,1,non,regular,none,bööörp,;;;;;
00:26:19:13,00:26:19:23,ERZAEHLER,1,speech,regular,none,Kennedy,;;;;;
00:26:20:01,00:26:22:11,PRESIDENT KENNEDY,1,speech,regular,complex,Ich gratuliere. Was ist das für ein Gefühl ein All-American zu sein?,;;;;;
00:26:22:12,00:26:23:03,1ST PLAYER,1,speech,regular,HS;"address,""Es ist mir eine Ehre, Sir."",";;;;
00:26:23:17,00:26:24:10,ERZAEHLER,1,speech,regular,none,Schwarzweißaufnahmen,;;;;;
00:26:24:22,00:26:28:09,ERZAEHLER,1,speech,regular,AND,In der Spielerschlange trippelt Forrest unruhig hin und her und hält sich den Bauch.,;;;;;
00:26:28:17,00:26:29:11,PRESIDENT KENNEDY,1,speech,regular,HS,Ich gratuliere.,;;;;;
00:26:29:13,00:26:31:06,PRESIDENT KENNEDY,1,speech,regular,question,Was ist das für ein Gefühl ein All-American zu sein?,;;;;;
00:26:31:24,00:26:32:03,3RD PLAYER,1,speech,regular,none;"address,""Ein sehr gutes Gefühl, Sir."",";;;;
00:26:32:05,00:26:32:19,ERZAEHLER,1,speech,regular,none,Zu Forrest,;;;;;
00:26:32:20,00:26:33:17,PRESIDENT KENNEDY,1,speech,regular,HS,Ich gratuliere.,;;;;;
00:26:33:19,00:26:34:13,PRESIDENT KENNEDY,1,speech,asking,question,Wie fühlen Sie sich denn?,;;;;;
"00:26:34:14,00:26:34:21,FORREST,1,speech,regular,incomplete,""I, ich..."",";;;;;
00:26:34:22,00:26:35:02,FORREST,1,none,regular,filler,äh,;;;;;
00:26:35:04,00:26:35:20,FORREST,1,speech,regular,completion,...muss mal pinkeln.,;;;;;
00:26:36:17,00:26:38:13,PRESIDENT KENNEDY,1,speech,regular,HS;NS;"NS2,""Ich glaube, er hat gesagt, er muss pinkeln."",indirekte Rede";;;
00:26:39:00,00:26:39:02,KENNEDY,1,non,regular,none,heh,;;;;;
00:26:40:09,00:26:45:08,ERZAEHLER,1,speech,regular,none,In der Präsidententoilette mit vielen Privatfotos sowie rotem und schwarzem Telefon neben dem Klo,;;;;;
00:26:45:20,00:26:47:23,ERZAEHLER,1,speech,regular,AND,Forrest schließt seine Hose und geht zum Waschtisch.,;;;;;
00:26:48:14,00:26:53:13,ERZAEHLER,1,speech,regular,HS,Dort stehen ein gerahmtes Bild von Marilyn Monroe mit Widmung und ein Bild von John F. und Robert Kennedy.,;;;;;
"00:26:53:20,00:27:00:20,FORREST (V.O.),1,speech,regular,complex,""Nicht lange danach hat jemand, ohne irgendeinen Grund, den netten jungen Präsidenten erschossen als er mit seinem Auto unterwegs war."",";;;;;
00:27:01:13,00:27:04:23,FORREST (V.O.),1,speech,regular;addendum,HS,Und ein paar Jahre danach hat jemand auch seinen kleinen Bruder erschossen.,;;;;
00:27:05:15,00:27:07:17,FORREST (V.O.),1,speech,regular,HS,Das war allerdings in einer Hotelküche.,;;;;;
00:27:09:10,00:27:10:24,FORREST,1,speech,regular,HS;"NS,""Muss schwer sein, wenn man Brüder hat."",";;;;
00:27:12:17,00:27:13:16,FORREST,1,speech,regular,HS,Ich weiß nichts davon.,;;;;;
00:27:13:20,00:27:14:13,ERZAEHLER,1,speech,regular,none,Auf dem Campus,;;;;;
00:27:14:04,00:27:41:02,OST,0,song,instrumental,instrumental,,;;;;;
00:27:14:19,00:27:15:12,DEAN,1,broadcast,regular,address,Forrest Gump,;;;;;
00:27:15:16,00:27:16:21,FORREST (V.O.),1,speech,asking,question,Wer hätte das gedacht?,;;;;;
00:27:17:07,00:27:21:17,FORREST (V.O.),1,speech,regular,AND,Da hab ich nur 5 Jahre Football gespielt und kriege einen College Abschluss.,;;;;;
00:27:21:18,00:27:21:20,DEAN,1,speech,regular,HS,Ich gratuliere Ihnen.,;;;;;
00:27:21:21,00:27:22:13,DEAN,1,speech,regular,address,Mein Sohn,;;;;;
00:27:22:24,00:27:25:05,FORREST (V.O.),1,speech,regular,HS,Mama war so stolz.,;;;;;
00:27:25:09,00:27:26:20,ERZAEHLER,1,speech,regular,HS,Ein Offizier kommt zu ihnen.,;;;;;
00:27:26:24,00:27:28:21,MRS. GUMP,1,speech,regular,address;"HS,""Forrest, ich bin so stolz auf dich."",";;;;
"00:27:29:05,00:27:29:13,MRS. GUMP,1,speech,commanding,imperative,""Na, komm!"",";;;;;
"00:27:29:15,00:27:30:08,MRS. GUMP,1,speech,asking,imperative,""Gib mir das bitte, ja?"",";;;;;
00:27:30:16,00:27:32:02,MILITARY RECRUITER,1,speech,regular,HS;"address,""Ich gratuliere Ihnen, mein Sohn."",";;;;
00:27:32:15,00:27:34:16,MILITARY RECRUITER,1,speech,asking,question,Haben Sie schon über ihre Zukunft nachgedacht?,;;;;;
00:27:34:17,00:27:36:08,ERZAEHLER,1,speech,regular,HS,Er gibt ihm eine Army-Werbebroschüre.,;;;;;
00:27:37:07,00:27:38:03,FORREST,1,speech,asking,none,Gedanken?,;;;;;
00:27:38:05,00:27:39:14,ERZAEHLER,1,speech,regular,none,In einem Army-Bus zum Fahrer,;;;;;
00:27:39:19,00:27:40:02,FORREST (V.O.),1,speech,regular,address,Hallo,;;;;;
00:27:40:06,00:27:41:02,FORREST (V.O.),1,speech,regular,HS,Ich bin Forrest.,;;;;;
00:27:41:05,00:27:41:22,FORREST,1,speech,regular;addendum,none,Forrest Gump,;;;;
00:27:41:23,00:27:42:20,ARMY BUS DRIVER,1,speech,asking,question,Soll ich dir was sagen?,;;;;;
00:27:42:22,00:27:44:17,ARMY BUS DRIVER,1,speech,regular,HS;"address,""Das ist mir scheissegal, du blöder Wichser."",";;;;
"00:27:44:23,00:27:47:21,ARMY BUS DRIVER,1,speech,regular,complex,""Du bist das letzte, mit dir kann man nichtmal die Scheisse aufwischen."",";;;;;
00:27:47:24,00:27:49:09,ARMY BUS DRIVER,1,speech,commanding,imperative;HS,Schieb deinen schwulen Arsch in den Bus!,;;;;
00:27:49:11,00:27:50:12,ARMY BUS DRIVER,1,speech,regular,HS,Du bist jetzt in der Army.,;;;;;
00:27:51:15,00:27:52:12,RECRUIT #1,1,speech,regular,HS,Hier sitzt schon einer.,;;;;;
00:27:52:23,00:27:55:04,ERZAEHLER,1,speech,regular,HS,Ein Schwarzer versperrt den leeren Platz neben sich.,;;;;;
00:27:55:06,00:27:55:18,RECRUIT #2,1,speech,regular,none,Hier auch,;;;;;
00:27:56:08,00:27:57:20,ERZAEHLER,1,speech,regular,HS,Eingeschüchtert geht Forrest weiter.,;;;;;
00:27:59:11,00:28:01:21,FORREST (V.O.),1,speech,regular,HS;"NS,""Ich hab zuerst gedacht, ich hab einen Fehler gemacht."",";;;;
00:28:01:22,00:28:03:18,FORREST (V.O.),1,speech,regular,HS,Es war doch der Tag meiner Einberufung.,;;;;;
00:28:04:04,00:28:05:1,FORREST (V.O.),1,speech,regular;addendum,HS,Und schon wurde ich angebrüllt.,;;;;
00:28:05:22,00:28:08:01,ERZAEHLER,1,speech,regular,HS,Er sieht zu einem Schwarzen mit vorstehender Unterlippe.,;;;;;
00:28:08:06,00:28:09:13,ERZAEHLER,1,speech,regular,HS,Der nimmt einen Koffer vom Sitz.,;;;;;
00:28:09:18,00:28:10:18,BUBBA,1,speech,regular,imperative;"NS,""Setz dich, wenn du willst."",";;;;
00:28:11:16,00:28:15:06,FORREST (V.O.),1,speech,regular,HS;NS;"NS,""Ich hatte ja keine Ahnung, wen ich so kennen lerne und was die mich so fragen."",";;;
00:28:15:19,00:28:17:14,BUBBA,1,speech,asking,question,Warst du schonmal auf nem richtigen Shrimpkutter?,;;;;;
00:28:17:17,00:28:18:18,ERZAEHLER,1,speech,regular,HS,Er gibt ihm ein Taschentuch.,;;;;;
00:28:18:19,00:28:19:06,FORREST,1,speech,regular,none,Nein,;;;;;
00:28:20:00,00:28:21:21,FORREST,1,speech,regular;addendum,HS,Aber ich hab mal ne Dampferfahrt gemacht.,;;;;
00:28:22:20,00:28:24:24,BUBBA,1,speech,regular,HS;"relativ,""Ich meine ein Boot, mit dem man Shrimps fischen geht."",";;;;
00:28:25:21,00:28:27:20,BUBBA,1,speech,regular,HS,Ich hab schon immer aufm Shrimpkutter gearbeitet.,;;;;;
00:28:28:03,00:28:30:19,BUBBA,1,speech,regular,HS;"HS,""Erst auf aufm Boot von meinem Onkel, das ist der Bruder von meiner Mutter."",";;;;
00:28:31:03,00:28:32:10,BUBBA,1,speech,regular;addendum,HS,Da war ich ungefähr neun.,;;;;
"00:28:33:02,00:28:36:10,BUBBA,1,speech,regular,complex,""Und jetzt hatt ich vor, mir selbst ein Boot zu kaufen, da haben sie mich eingezogen."",";;;;;
00:28:37:18,00:28:38:15,BUBBA,1,speech,regular,HS,Getauft bin ich auf...,;;;;;
00:28:39:00,00:28:40:10,BUBBA,1,speech,regular,none,...Benjamin Buford Blue.,;;;;;
00:28:41:00,00:28:42:07,BUBBA,1,speech,regular;addendum,HS,Aber alle nennen mich Bubba.,;;;;
00:28:43:02,00:28:45:00,BUBBA,1,speech,regular,HS,So wie die weißen Arbeiter sich begrüßen.,;;;;;
00:28:45:10,00:28:46:07,BUBBA,1,speech,regular,question,Wie findest du das?,;;;;;
00:28:46:16,00:28:48:04,FORREST,1,speech,regular,HS,Mein Name ist Forrest Gump.,;;;;;
00:28:48:16,00:28:50:03,FORREST,1,speech,regular,HS,Mich nennen alle Forrest Gump.,;;;;;
"00:28:51:01,00:28:55:10,FORREST (V.O.),1,speech,regular,complex,""Also Bubba kam aus Bayou La Batre, Alabama und seine Mama kochte Shrimps."",";;;;;
00:28:55:19,00:28:57:13,ERZAEHLER,1,speech,regular,HS,Eine schwarze Köchin bedient einen Weißen.,;;;;;
00:28:57:14,00:29:00:11,ERZAEHLER,1,speech,regular,HS,Im gleichen Haus bedient auch die schwarze Großmutter ihren weißen Herrn.,;;;;;
00:29:00:12,00:29:02:21,FORREST (V.O.),1,speech,regular,HS,Und die Mama von der Mama von der Mama kochte Shrimps.,;;;;;
00:29:03:04,00:29:06:20,FORREST (V.O.),1,speech,regular,HS;"NS,""Bubbas Familie wusste alles, was man übers Shrimpgeschäft wissen muss."",";;;;
00:29:07:01,00:29:09:15,FORREST (V.O.),1,speech,regular,HS;"NS,""Ich weiß alles, was man über das Shrimpgeschäft wissen muss."",";;;;
00:29:10:05,00:29:10:20,BUBBA,1,speech,asking,question,Weißt du was?,;;;;;
00:29:10:22,00:29:13:00,BUBBA,1,speech,regular,HS,Eines Tages werde ich meine eigenen Shrimps fangen.,;;;;;
00:29:13:10,00:29:14:18,BUBBA,1,speech,regular;addendum,NS,Wenn das alles hier vorbei ist.,;;;;
00:29:18:08,00:29:18:22,FORREST,1,speech,regular,none,Okay,;;;;;
00:29:19:09,00:29:19:20,DRILL SERGEANT,1,speech,regular,address,Gump,;;;;;
00:29:20:08,00:29:23:01,DRILL SERGEANT,1,speech,asking,question,Wozu sind Sie einzig und allein in der Army?,;;;;;
00:29:23:03,00:29:24:15,FORREST,1,speech,regular,NS;"NS2,""Um das zu tun, was sie mir sagen."",";;;;
00:29:24:16,00:29:25:15,FORREST,1,speech,regular,address,Drill Seargent,;;;;;
00:29:25:17,00:29:26:10,DRILL SERGEANT,1,speech,exclamation,none,Gottverdammt,;;;;;
00:29:26:12,00:29:26:19,DRILL SERGEANT,1,speech,regular,address,Gump,;;;;;
00:29:26:21,00:29:27:13,ERZAEHLER,1,speech,regular,none,Im Schlafsaal,###locale###;;;;;
00:29:27:14,00:29:28:21,DRILL SERGEANT,1,speech,regular,HS,Sie sind ein verfluchtes Genie.,;;;;;
00:29:29:00,00:29:30:24,DRILL SERGEANT,1,speech,regular,HS,Das war eine hochintelligente Antwort.,;;;;;
00:29:31:05,00:29:32:21,DRILL SERGEANT,1,speech,regular,HS,Sie haben wohl einen Intelligenzquotienten von 160.,;;;;;
00:29:33:04,00:29:35:15,DRILL SERGEANT,1,speech,regular,HS,Sie sind eine außergewöhnliche Begabung.,;;;;;
00:29:35:16,00:29:36:08,DRILL SERGEANT,1,speech,regular,address,Private Gump,;;;;;
00:29:36:13,00:29:37:16,ERZAEHLER,1,speech,regular,none,Die Männer sind in Unterwäsche.,;;;;;
00:29:38:00,00:29:39:05,DRILL SERGEANT,1,speech,regular,imperative;"address,""Alle mal herhören, Männer!"",";;;;
"00:29:40:01,00:29:45:06,FORREST (V.O.),1,speech,regular,complex,""Es gibt keinen besonderen Grund, aber ich hab in die Army gepasst wie der Deckel auf den Topf. Es ist gar nicht schwer. "",";;;;;
"00:29:45:20,00:29:50:15,FORREST (V.O.),1,speech,regular,complex,""Man muss sein Bett richtig machen und immer dran denken, schön stramm zu stehen und jedes Mal antworten:"",";;;;;
00:29:50:21,00:29:51:14,FORREST (V.O.),1,speech,exclamation,none,Zu Befehl,;;;;;
00:29:51:17,00:29:52:16,FORREST (V.O.),1,speech,regular,address,Drill Sergeant,;;;;;
00:29:52:24,00:29:53:22,DRILL SERGEANT,1,speech,regular,question,Ist das klar?,;;;;;
00:29:54:05,00:29:55:00,FORREST & RECRUITS,1,speech,exclamation,none,Zu Befehl,;;;;;
00:29:55:01,00:29:56:02,FORREST & RECRUITS,1,speech,regular,address,Drill Sergeant,#movie#;;;;;
00:29:56:03,00:29:56:13,ERZAEHLER,1,speech,regular,HS,Jeder setzt sein Gewehr zusammen.,;;;;;
00:29:56:21,00:29:59:12,BUBBA,1,speech,regular,HS;"NS,""Du musst nichts tun, nur die Netze übern Meeresgrund ziehen."",";;;;
00:29:59:24,00:30:02:19,BUBBA,1,speech,regular,HS,An nem guten Tag kannst du über 100 Pfund Shrimps fangen.,;;;;;
"00:30:03:05,00:30:09:10,BUBBA,1,speech,regular,complex,""Wenn alles richtig hinhaut, verdienen zwei Mann, die zehn Stunden fischen, abzüglich das, was du für den Sprit brauchst, so ungefähr..."",";;;;;
